,0
0,0.4069550335407257
1,0.4123725891113281
2,0.30815136432647705
3,0.32610052824020386
4,0.25681397318840027
5,0.2797200679779053
6,0.34963494539260864
7,0.41015902161598206
8,0.26463162899017334
9,0.27795708179473877
10,0.39382702112197876
11,0.22152292728424072
12,0.3956030309200287
13,0.37122881412506104
14,0.30940109491348267
15,0.36781373620033264
16,0.47182518243789673
17,0.4083293080329895
18,0.21797269582748413
19,0.46921074390411377
20,0.22458334267139435
21,0.3833756446838379
22,0.5008837580680847
23,0.4812083840370178
24,0.31281834840774536
25,0.2724270820617676
26,0.4475719928741455
27,0.378858357667923
28,0.31627076864242554
29,0.44566798210144043
30,0.3956682085990906
31,0.4433252811431885
32,0.41659650206565857
33,0.21710214018821716
34,0.3751305937767029
35,0.28215497732162476
36,0.3397059440612793
37,0.3373337686061859
38,0.3989327549934387
39,0.3902161717414856
40,0.3484968841075897
41,0.3163830041885376
42,0.3421451151371002
43,0.3967374563217163
44,0.34602975845336914
45,0.2728719711303711
46,0.35272663831710815
47,0.28416043519973755
48,0.3472632169723511
49,0.3702629804611206
50,0.3704468607902527
51,0.36625149846076965
52,0.2930736243724823
53,0.5505200624465942
54,0.42940956354141235
55,0.3416077494621277
56,0.36809295415878296
57,0.42979779839515686
58,0.27666568756103516
59,0.4418957531452179
60,0.38884690403938293
61,0.2561348080635071
62,0.35399526357650757
63,0.22747081518173218
64,0.23457206785678864
65,0.43033677339553833
66,0.42318177223205566
67,0.42894411087036133
68,0.3294822573661804
69,0.2812425196170807
70,0.30147600173950195
71,0.2774620056152344
72,0.194157674908638
73,0.30073705315589905
74,0.22712576389312744
75,0.28118473291397095
76,0.4164702296257019
77,0.39268285036087036
78,0.23070982098579407
79,0.27183815836906433
80,0.31690049171447754
81,0.4183104634284973
82,0.310385137796402
83,0.24333173036575317
84,0.2665708661079407
85,0.29596227407455444
86,0.3784993886947632
87,0.34129515290260315
88,0.26827406883239746
89,0.3113483190536499
90,0.41584232449531555
91,0.3452032506465912
92,0.47486546635627747
93,0.4110379219055176
94,0.5399196147918701
95,0.36663466691970825
96,0.4434133470058441
97,0.3128177523612976
98,0.4343275725841522
99,0.4657266438007355
100,0.33629822731018066
101,0.319295734167099
102,0.2151128351688385
103,0.2634057402610779
104,0.2917335033416748
105,0.3008286952972412
106,0.3189246654510498
107,0.28373581171035767
108,0.3275911211967468
109,0.2974517345428467
110,0.3662947118282318
111,0.25045889616012573
112,0.28118032217025757
113,0.4066656231880188
114,0.41480445861816406
115,0.2243514209985733
116,0.37183839082717896
117,0.37132713198661804
118,0.4503432512283325
119,0.338135302066803
120,0.3611275553703308
121,0.26070472598075867
122,0.373981773853302
123,0.37160825729370117
124,0.27204450964927673
125,0.25019219517707825
126,0.449917733669281
127,0.3311558961868286
128,0.3915339410305023
129,0.34491831064224243
130,0.2946229875087738
131,0.35644036531448364
132,0.3145292401313782
133,0.291919469833374
134,0.34819960594177246
135,0.31309348344802856
136,0.3387832045555115
137,0.3225477337837219
138,0.39662039279937744
139,0.3328714370727539
140,0.2108592540025711
141,0.42215272784233093
142,0.4081193208694458
143,0.3404695689678192
144,0.30807971954345703
145,0.3622555136680603
146,0.3620203137397766
147,0.4192497432231903
148,0.3418886363506317
149,0.3192836344242096
150,0.28266629576683044
151,0.37771862745285034
152,0.37606120109558105
153,0.28342384099960327
154,0.3291981518268585
155,0.3270019292831421
156,0.2700674533843994
157,0.31631022691726685
158,0.3651767075061798
159,0.39537927508354187
160,0.2907169461250305
161,0.3553861081600189
162,0.4120289087295532
163,0.4117577075958252
164,0.4858011305332184
165,0.3355068564414978
166,0.27985382080078125
167,0.4149770140647888
168,0.3756188750267029
169,0.24647973477840424
170,0.4183144271373749
171,0.4362058639526367
172,0.32303622364997864
173,0.26676589250564575
174,0.13842268288135529
175,0.31897130608558655
176,0.3081723749637604
177,0.40576544404029846
178,0.3481506109237671
179,0.2655923664569855
180,0.2662569284439087
181,0.28018346428871155
182,0.3750561475753784
183,0.29944050312042236
184,0.3420236110687256
185,0.39896446466445923
186,0.3672422170639038
187,0.14902421832084656
188,0.21799585223197937
